ActivityId,date,Type,RouteName,Distance(km),Duration,AveragePace,AverageSpeed(km/h),CaloriesBurned,Climb(m),AverageHeartRate(bpm),Friend'sTagged,Notes,GPXFile
69aed45f-7a34-4d3a-8850-8e0fec82fce5,15/09/2024 17:20,Running,,10.54,53:15:00,05:03,11.87,824,102,,,,2024-09-15-172032.gpx
59589f49-0d6b-471f-a205-fdc4360a0927,11/09/2024 17:35,Swimming,,1.07,28:53:00,26:56:00,2.23,251,6,,,,2024-09-11-173515.gpx
bd0d39b4-c15b-4260-9338-f7d36349b71b,10/09/2024 17:34,Running,,5.56,29:38:00,05:20,11.27,435,57,,,,2024-09-10-173437.gpx
bc64285e-7cae-4dc6-a6ed-d6e5c1d69773,08/09/2024 17:38,Running,,5.73,34:11:00,05:58,10.06,447,56,,,,2024-09-08-173854.gpx
a701d21e-5e8d-4c65-b8d5-9cc9973556cc,07/09/2024 17:03,Swimming,,1.82,48:25:00,26:38:00,2.25,426,9,,,,2024-09-07-170342.gpx
fc8287b4-5c16-4f11-917e-e0bf42e6f854,06/09/2024 17:58,Running,,8.59,48:52:00,05:41,10.55,665,68,,,,2024-09-06-175847.gpx
f82bf47e-848d-43ae-bb8c-7bc3fcabbe92,04/09/2024 17:27,Swimming,,1.36,40:55:00,30:06:00,1.99,334,8,,,,2024-09-04-172720.gpx
e0f3859f-f9d4-499e-b23d-8321c0e0954a,03/09/2024 17:50,Running,,9.27,55:56:00,06:02,9.95,722,78,,,,2024-09-03-175019.gpx
c1d797f5-eb67-493c-a6d5-b821093279b1,01/09/2024 11:34,Running,,12.03,02:27:40,12:16,4.89,1089,578,,,,2024-09-01-113436.gpx
f9511c23-804d-400e-97ef-32bb0b7dac78,29/08/2024 17:12,Swimming,,1.39,47:49:00,34:29:00,1.74,367,7,,,,2024-08-29-171200.gpx
03a3d273-1148-4c11-83c4-ae3644a2dcfd,28/08/2024 18:05,Running,,8.53,48:10:00,05:39,10.62,660,69,,,,2024-08-28-180539.gpx
e3f6b937-6ed2-4f15-bf8b-849906a93cfb,25/08/2024 17:30,Running,,10.02,57:46:00,05:46,10.41,789,120,,,,2024-08-25-173013.gpx
f31ef748-d0ed-4230-997d-e1a3cd4fc6d5,22/08/2024 17:39,Running,,6.85,39:09:00,05:43,10.49,534,68,,,,2024-08-22-173907.gpx
bf9aa905-6220-41d7-a647-3c84ebb0ac7f,20/08/2024 17:46,Running,,6.85,41:11:00,06:01,9.99,536,66,,,,2024-08-20-174659.gpx
acf83b6c-9ead-4695-9052-af45331ba409,17/08/2024 18:07,Running,,6.85,40:22:00,05:53,10.19,536,67,,,,2024-08-17-180738.gpx
cd690902-f70e-4356-abf6-4198dd5f3233,12/08/2024 17:22,Running,,4.19,24:14:00,05:47,10.36,317,21,,,,2024-08-12-172256.gpx
adc14ae7-da7a-4b4c-99d6-4f16f4b5c458,09/08/2024 17:51,Running,,5.69,34:10:00,06:00,10,432,27,,,,2024-08-09-175114.gpx
67102263-6e73-4965-8839-f66f91c1b23f,06/08/2024 17:49,Running,,5.33,37:51:00,07:06,8.44,397,38,,,,2024-08-06-174926.gpx
e05aaf4e-a7cd-4a4a-8722-251047099c1e,25/07/2024 17:26,Running,,16.75,01:34:34,05:39,10.63,1321,204,,,,2024-07-25-172641.gpx
